,parameter_code,poc,latitude,longitude,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code
parameter_code,,,,,,,,,,,
poc,,1.0,-0.013841533388732152,0.037310523535513,-0.01479362409457833,-0.014523430693796484,-0.0001965899017574255,-0.00010077061965354374,0.004519901044838285,,-0.003865483410367731
latitude,,-0.013841533388732152,1.0,0.18740529949580542,0.007110265879297729,0.007066957521189307,0.005024147460150156,0.005302372363860116,0.03668883151839443,,-0.14344843596991835
longitude,,0.037310523535513,0.18740529949580542,1.0,-0.003326862324030461,-0.003268769541962435,0.01360042152548911,0.013811700909152356,0.03541538693275006,,0.0020622682466109863
observation_count,,-0.01479362409457833,0.007110265879297729,-0.003326862324030461,1.0,0.9999563254711455,0.003294983418662606,0.003341449919067316,-0.004829702606151982,,6.48522992683466e-05
observation_percent,,-0.014523430693796484,0.007066957521189307,-0.003268769541962435,0.9999563254711455,1.0,0.0032775681758346123,0.003324288599343638,-0.004829119373433277,,6.219509428666056e-05
arithmetic_mean,,-0.0001965899017574255,0.005024147460150156,0.01360042152548911,0.003294983418662606,0.0032775681758346123,1.0,0.9998611536854131,0.009337090282695514,,-0.0007034445013528298
first_max_value,,-0.00010077061965354374,0.005302372363860116,0.013811700909152356,0.003341449919067316,0.003324288599343638,0.9998611536854131,1.0,0.009728673480277578,,-0.0007625815352391286
first_max_hour,,0.004519901044838285,0.03668883151839443,0.03541538693275006,-0.004829702606151982,-0.004829119373433277,0.009337090282695514,0.009728673480277578,1.0,,0.007422839517343812
aqi,,,,,,,,,,,
method_code,,-0.003865483410367731,-0.14344843596991835,0.0020622682466109863,6.48522992683466e-05,6.219509428666056e-05,-0.0007034445013528298,-0.0007625815352391286,0.007422839517343812,,1.0
