metric_used,count
Observed Values,3006144
Daily Mean,259818
Quarterly Means of Daily Means,186120
Daily maximum of 8 hour running average of observed hourly values,146768
Daily maximum of 8-hour running average,73386
Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),73384
Daily Average of observed values,38742
Daily maximum 1-hour average,37435
3-Hour block average of observed hourly values,37394
Observed values,26789
Obseved hourly values,25495
8-Hour running average (end hour) of observed hourly values,25494
Daily Maximum 1-hour average,25277
