observation_percent,count
100.0,723074
98.0,376787
97.0,273124
95.0,216025
99.0,208869
93.0,190224
92.0,127489
96.0,117637
90.0,110582
94.0,91303
89.0,90993
87.0,69000
85.0,55741
84.0,54789
91.0,52516
80.0,44643
88.0,42459
82.0,38588
49.0,33426
83.0,31570
48.0,31245
79.0,30051
25.0,29119
86.0,28051
75.0,27135
77.0,23904
23.0,22928
8.0,22344
81.0,22280
74.0,21220
46.0,20658
2.0,19698
50.0,18617
51.0,18141
24.0,17198
44.0,16384
43.0,16206
70.0,16013
0.0,15799
3.0,15671
16.0,15324
72.0,15145
7.0,15130
41.0,14430
78.0,14351
67.0,14051
5.0,13958
20.0,13910
10.0,13495
69.0,12870
21.0,12801
33.0,12799
39.0,12611
52.0,12490
1.0,12330
15.0,11940
76.0,11148
73.0,10995
38.0,10966
66.0,10955
13.0,10865
64.0,10851
26.0,10751
42.0,10453
47.0,10264
57.0,10161
62.0,10007
11.0,9696
22.0,9681
71.0,9470
61.0,9430
18.0,9197
34.0,9037
30.0,9014
40.0,8717
31.0,8584
28.0,8527
56.0,8336
68.0,8297
59.0,8174
45.0,8148
36.0,8085
17.0,7696
54.0,7641
32.0,7030
4.0,7021
6.0,6858
63.0,6673
65.0,6596
60.0,6544
58.0,6133
12.0,5970
27.0,5802
19.0,5638
55.0,5350
14.0,5173
35.0,5137
53.0,4928
29.0,4854
9.0,4363
37.0,3894
