required_day_count,count
61,1368632
365,741812
122,563741
366,237586
121,181030
60,139988
214,111375
30,59330
31,57582
245,50531
183,22738
15,16770
0,14795
12,14659
46,13028
275,11648
153,10913
41,10906
10,10278
51,8512
184,8051
25,7927
4,7870
20,7557
36,7467
9,7180
16,7037
40,6739
14,6651
45,6546
56,6289
5,5645
21,5596
23,5350
33,5349
26,5134
11,4809
92,4762
35,4506
17,4388
28,4378
53,4354
59,4348
22,4154
38,4090
34,3964
18,3953
91,3845
13,3777
54,3701
58,3595
29,3543
32,3496
7,3495
39,3288
55,3273
43,3243
273,3134
27,3049
57,2956
6,2866
42,2822
24,2819
50,2593
49,2575
44,2500
47,2495
243,2462
8,2389
48,2148
71,2105
244,2053
3,2046
2,2017
90,1987
19,1944
52,1920
1,1890
274,1866
101,1665
81,1559
76,1524
72,1514
137,1428
213,1405
182,1339
109,1334
306,1285
138,1238
37,1236
62,1199
181,1130
102,1122
212,1108
304,887
77,829
86,739
170,723
70,718
334,715
78,678
120,624
73,615
94,615
89,609
97,608
198,601
151,561
112,561
119,558
66,547
335,519
287,505
69,502
128,488
231,486
67,486
272,477
305,473
93,470
82,467
63,463
219,451
84,451
106,450
229,444
111,435
87,428
116,403
228,388
264,384
217,382
107,381
265,374
79,363
114,349
100,349
103,345
99,337
255,322
104,318
65,313
98,312
215,309
113,307
194,301
344,300
156,300
64,300
155,297
108,293
197,288
74,281
175,281
196,280
96,280
143,277
117,273
123,271
242,271
221,267
105,258
115,258
271,255
256,254
85,249
131,249
289,247
80,243
75,240
185,239
88,238
223,236
234,230
133,230
254,229
302,228
142,224
262,223
68,221
238,221
267,221
286,219
152,219
276,218
296,216
135,214
233,210
134,208
225,205
248,203
165,200
200,200
291,198
149,196
277,192
220,188
308,187
118,183
193,182
179,181
360,178
168,174
240,171
260,168
237,168
216,165
171,165
268,161
336,160
257,159
236,157
349,153
83,149
218,149
172,148
261,147
325,146
315,145
199,145
136,143
163,143
206,141
241,141
140,139
253,139
340,139
247,138
259,137
125,137
187,136
167,133
281,130
209,130
328,128
364,128
270,127
258,127
202,126
250,126
345,124
339,124
230,123
157,122
150,121
162,120
177,120
354,119
154,119
132,119
358,118
337,117
203,117
147,117
347,116
190,116
124,115
110,114
352,113
353,108
322,108
295,107
204,107
320,106
144,106
192,106
350,105
313,104
330,104
301,103
346,102
222,102
158,102
211,102
129,101
191,101
310,100
207,99
252,99
300,97
173,96
288,96
263,96
161,95
293,95
169,94
292,93
290,92
363,91
284,91
324,91
166,90
189,89
331,88
232,88
246,87
249,87
164,87
195,86
141,86
279,84
139,82
309,82
303,82
239,81
146,81
251,79
127,79
95,78
235,78
188,77
205,77
351,76
201,75
180,73
208,72
361,72
130,70
266,67
148,66
312,66
174,66
316,63
178,62
269,62
341,61
311,61
282,60
285,60
297,60
176,59
338,59
323,59
307,58
210,58
348,58
126,57
355,56
327,55
280,55
226,53
357,52
319,52
186,52
298,52
321,52
224,52
283,52
145,51
160,51
159,49
314,48
294,48
278,47
299,46
332,45
356,43
359,42
326,40
227,38
362,35
342,34
318,32
329,31
317,29
333,20
343,20
