county_code,count
037,220024
013,217072
083,152050
003,149725
001,129906
031,127767
019,125380
029,124670
067,114311
201,111868
071,110062
073,105258
059,93830
025,91249
005,88287
007,80474
035,80302
079,80105
011,73723
065,73154
033,71348
045,71183
057,70977
163,68635
047,67973
111,64647
101,54688
113,51601
087,50466
021,48921
015,47488
141,47311
009,47176
041,46189
095,45380
510,45194
099,44566
017,43105
027,42650
039,42225
061,42049
077,40612
002,36863
189,36236
107,33992
053,33518
439,33502
081,33131
089,32056
049,31877
121,30967
097,30503
103,29839
119,27220
125,26546
183,25596
245,24849
109,23999
086,23764
051,22907
063,21643
023,20788
075,19240
153,19070
085,16818
043,16488
143,16239
139,15600
055,15595
453,14359
133,13870
165,13113
145,12139
069,11807
117,11558
161,11523
760,11198
361,11197
209,11171
710,10595
036,10385
157,9278
167,8930
091,8692
423,8265
127,8092
339,8024
247,7828
257,7744
203,7453
191,7437
173,6944
223,6933
231,6882
129,6507
123,5414
177,5252
115,5096
135,5078
147,4937
349,4447
650,4419
093,4251
186,4079
309,3652
137,3416
197,3044
213,2827
159,2714
105,2669
227,2542
195,2497
171,2254
090,1801
131,1747
028,1153
187,1122
012,1056
315,1038
255,793
600,782
493,765
367,710
122,443
149,384
221,363
151,359
155,351
700,116
211,110
