site_num,count
0002,626167
0005,578735
0004,574452
0003,557940
0006,463658
0001,435158
0007,395707
0011,270683
0008,266127
0009,243431
1001,234259
0012,230578
1002,223428
0020,206372
1004,190232
0010,187323
0015,174145
1003,172028
0016,147892
0021,147211
0013,143883
0017,136888
0014,129529
0019,128393
3001,107242
3002,104855
0022,103894
0018,100380
1005,96238
5001,91756
0023,90090
2002,83944
0026,81844
2004,78441
0032,76564
4002,76253
0025,75780
0034,73465
0080,70183
2001,68353
1007,65500
0041,64376
0031,59902
0024,59293
2006,58675
1006,58003
0046,56339
0101,55352
1010,55172
0100,54028
1008,52076
0027,50995
0040,48560
6001,47433
1035,46473
0055,45246
0051,43307
1009,42984
0037,42541
0029,42484
0103,41098
0081,40839
0053,40799
0030,40311
0028,37803
2008,37127
2007,36473
0067,36031
1013,35658
0102,34922
0124,34562
1011,33510
0038,33504
0057,33163
1014,31981
8001,31499
2005,30898
0109,30809
1025,30406
0060,29490
0048,29185
1015,28850
0042,28812
4003,28099
0064,27526
2003,27519
3003,26552
0097,26257
1037,26074
0073,24659
0062,24576
1601,23867
0106,23863
1101,23843
1020,23614
1123,23577
3007,23565
3004,23286
0099,23279
0105,23158
0175,23134
0801,23013
0436,22988
0045,22906
0996,22886
0118,22668
1012,22567
0066,22562
1103,22548
1041,22545
0954,22100
0076,21990
0033,21719
0069,21670
0501,21599
0104,21487
0423,21347
1018,20596
0059,19658
0091,19555
9003,19450
9002,19295
0167,19174
0050,18902
0235,18897
1301,18876
0044,18574
0065,18067
0111,17941
0301,17883
9009,17583
1234,17191
5003,16861
0056,16817
0043,16787
0110,16725
9001,16636
0200,16629
0072,16112
1024,15971
2016,15963
0760,15920
0306,15885
5002,15874
2123,15795
0762,15793
0761,15613
0702,15530
1065,15152
0123,14883
0113,14872
1050,14491
8000,14244
4001,14004
0602,13981
0116,13897
0086,13790
0401,13782
6004,13736
0095,13634
0701,13093
0902,13004
2011,12772
4201,12440
0058,12375
5005,12238
1016,12026
9997,11966
0416,11664
0063,11562
0857,11318
0800,11200
0133,11199
1034,11137
1100,11035
7003,10898
2020,10846
6005,10796
0442,10756
1127,10450
1017,10269
0078,10182
1026,10084
0443,9984
3009,9796
0913,9620
0136,9597
0864,9168
1051,8995
0070,8810
8003,8656
2124,8636
0403,8468
6011,8446
0300,8411
0700,8394
1028,8339
0085,8212
2023,8052
5004,8049
0540,8030
9812,7966
7002,7884
0151,7806
1039,7767
0703,7653
0083,7653
0903,7619
0604,7556
3006,7503
1044,7456
9010,7417
2601,7417
0539,7386
1701,7366
2010,7261
0075,7250
6000,7234
9004,7223
7001,6994
0901,6934
2009,6904
0047,6712
0036,6660
0914,6630
4006,6581
1233,6384
0441,6216
4004,6077
0911,5925
0054,5904
0763,5883
1019,5765
0179,5732
0039,5328
0092,5253
0232,5222
7004,5000
0052,4992
0272,4925
0908,4825
6013,4719
6006,4664
1022,4567
6009,4433
0114,4414
0957,4380
6002,4379
0112,4350
9007,4343
3010,4202
0132,4142
1027,4078
0135,4008
0098,3972
0555,3946
2000,3937
0074,3928
1073,3888
1076,3840
0217,3831
0317,3826
1071,3818
9011,3792
1078,3779
1083,3775
0905,3771
1079,3763
1081,3738
1077,3664
4100,3633
1080,3619
9014,3602
1072,3556
3008,3538
6018,3382
0079,3332
0852,3314
0108,3228
1084,3154
1082,3109
0915,3088
6003,3085
0916,3080
0600,3074
9991,3073
0909,3034
1240,3032
0912,3024
6316,3024
2401,2914
0910,2646
0188,2610
1075,2531
8882,2487
8881,2487
0170,2460
0084,2440
0117,2371
2017,2357
8883,2340
5008,2192
1030,2182
0426,2173
0082,2138
1029,2060
0764,1942
0765,1913
3015,1868
0704,1821
0622,1784
0613,1544
1000,1506
0711,1460
0096,1460
0425,1440
0427,1414
0424,1408
0601,1394
0647,1365
0439,1362
2021,1272
2012,1208
7015,1156
5632,1082
1902,1056
0870,972
1201,970
3000,849
8011,782
5601,730
4009,726
7631,724
7630,649
0068,614
0900,608
1302,606
1021,598
0035,580
0850,526
6012,454
0244,434
0243,425
7634,425
3005,424
2035,400
7635,391
0821,362
7632,306
1113,238
0428,182
2022,152
4101,62
