,count,mean,std,min,25%,50%,75%,max,column_name
parameter_code,7249105.0,62101.0,0.0,62101.0,62101.0,62101.0,62101.0,62101.0,parameter_code
poc,7249105.0,1.116518797837802,0.43051927788164845,1.0,1.0,1.0,1.0,10.0,poc
latitude,7249105.0,38.396553541376775,5.473479705589863,18.334399,34.2804,38.78879,42.348873,67.0931,latitude
longitude,7249105.0,-100.77947185061153,16.199528452104158,-158.088613,-116.347853,-103.37853,-87.428342,-64.79597199999999,longitude
observation_count,7249105.0,23.86577722353311,1.1676363683679722,1.0,24.0,24.0,24.0,24.0,observation_count
observation_percent,7249105.0,99.4455145842142,4.853834426186243,4.0,100.0,100.0,100.0,100.0,observation_percent
arithmetic_mean,7249105.0,56.287276642007406,18.59745287577687,-409.791667,43.916667,58.041667,70.416667,440.857143,arithmetic_mean
first_max_value,7249105.0,65.9402333612218,20.02720430589754,-409.0,53.0,68.0,81.0,767.0,first_max_value
first_max_hour,7249105.0,12.920450455607968,3.8712582602272034,0.0,12.0,14.0,15.0,23.0,first_max_hour
aqi,0.0,,,,,,,,aqi
method_code,7249105.0,41.62507316420441,26.627280636453335,20.0,40.0,40.0,40.0,803.0,method_code
